URL,Template type,Status code,Canonical target,Indexability,Robots directive,Title length,Meta description length,H1 present (Y/N),Approx word count,Inlinks/Outlinks,Notes
https://www.familyvest.com/family-vest/blog/final-tax-bill-gop/,blog,200,https://www.familyvest.com/family-vest/blog/final-tax-bill-gop/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",46,135,Y,1458,12/25,
https://www.familyvest.com/family-vest/blog/financial-considerations-when-pursuing-an-advanced-degree/,blog,200,https://www.familyvest.com/family-vest/blog/financial-considerations-when-pursuing-an-advanced-degree/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",81,144,Y,789,12/27,
https://www.familyvest.com/family-vest/blog/financial-goals-how-to-set-them-and-achieve-them/,blog,200,https://www.familyvest.com/family-vest/blog/financial-goals-how-to-set-them-and-achieve-them/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",73,131,Y,1138,30/32,
https://www.familyvest.com/family-vest/blog/financial-infidelity-how-to-rebuild-trust-and-move-forward/,blog,200,https://www.familyvest.com/family-vest/blog/financial-infidelity-how-to-rebuild-trust-and-move-forward/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",83,144,Y,1641,20/30,
https://www.familyvest.com/family-vest/blog/financial-new-years-resolutions-for-2023/,blog,200,https://www.familyvest.com/family-vest/blog/financial-new-years-resolutions-for-2023/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",65,116,Y,1656,12/29,
https://www.familyvest.com/family-vest/blog/financial-planner-vs-financial-advisor-whats-the-difference/,blog,200,https://www.familyvest.com/family-vest/blog/financial-planner-vs-financial-advisor-whats-the-difference/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",63,167,Y,1395,24/32,
https://www.familyvest.com/family-vest/blog/grandparents-planning-special-needs-child/,blog,200,https://www.familyvest.com/family-vest/blog/grandparents-planning-special-needs-child/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",64,258,Y,1408,20/30,
https://www.familyvest.com/family-vest/blog/grief-and-loss-managing-your-finances-after-the-death-of-a-spouse/,blog,200,https://www.familyvest.com/family-vest/blog/grief-and-loss-managing-your-finances-after-the-death-of-a-spouse/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",66,273,Y,1101,12/28,
https://www.familyvest.com/family-vest/blog/guardianship-and-alternatives-options-for-parents-of-children-with-special-needs/,blog,200,https://www.familyvest.com/family-vest/blog/guardianship-and-alternatives-options-for-parents-of-children-with-special-needs/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",52,152,Y,1238,16/27,
https://www.familyvest.com/family-vest/blog/have-that-end-of-year-conversation-with-your-financial-advisor/,blog,200,https://www.familyvest.com/family-vest/blog/have-that-end-of-year-conversation-with-your-financial-advisor/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",86,138,Y,905,154/29,
